artist,title,date
"""TV Girl x Jordana""","""Jump the Turnstile""",2022-12-27T14:52:28.032575
"""The Midnight Hour""","""Jazz Is Dead (Georgia Anne Muldrow Geemix)""",2022-12-27T14:52:28.033571
"""Waahli""","""DERIVE""",2022-12-27T14:52:28.035574
"""Zola Jesus""","""The Fall""",2022-12-27T14:52:28.037567
"""Ben Zaidi""","""Jerusalem.""",2022-12-27T14:52:28.038559
"""The Nunnery""","""Floating Garden""",2022-12-27T14:52:28.039558
"""Angélica Garcia""","""Llorona""",2022-12-27T14:52:28.041551
"""Goon Sax""","""Make Time 4 Love""",2022-12-27T14:52:28.042550
"""Mondo Cozmo""","""Meant For Livin""",2022-12-27T14:52:28.042550
"""Farmer Dave & The Wizards of the West""","""Ohana""",2022-12-27T14:52:28.044572
"""Julia Jacklin""","""Lydia Wears A Cross""",2022-12-27T14:52:28.044572
"""Metronomy""","""It's Good To Be Back""",2022-12-27T14:52:28.045541
"""Just Mustard""","""Still""",2022-12-27T14:52:28.046537
"""Parris""","""Skater's World""",2022-12-27T14:52:28.047543
"""The Shackletons""","""Happy Boring Life""",2022-12-27T14:52:28.048533
