artist,title,date
"""Taken By Trees""","""Dreams""",2023-01-01T17:33:31.932553
"""Blitzen Trapper""","""Wild Mountain Nation""",2023-01-01T17:33:33.447535
"""Benko""","""American Writer (Live In Studio 1A)""",2023-01-01T17:33:34.984425
"""Sharon Van Etten""","""Just Like Blood""",2023-01-01T17:33:35.005377
"""Califone""","""Funeral Singers""",2023-01-01T17:33:36.805523
"""Viva Voce""","""Analog Woodland Song""",2023-01-01T17:33:38.647680
"""Pinback""","""Proceed To Memory""",2023-01-01T17:33:40.155648
"""Mavis Staples""","""High Note""",2023-01-01T17:33:41.674587
"""The Civil Wars""","""Barton Hollow""",2023-01-01T17:33:41.747391
"""Milo Greene""","""1957""",2023-01-01T17:33:43.249394
"""Nakia""","""Outta My Head""",2023-01-01T17:33:44.760369
"""Elizabeth McQueen""","""You’re To Blame""",2023-01-01T17:33:44.782280
"""Fleet Foxes""","""The Plains/Bitter Dancer""",2023-01-01T17:33:46.292239
"""Bombino""","""Timtar (Memories)""",2023-01-01T17:33:47.824143
"""Ximena Sariñana""","""Different""",2023-01-01T17:33:49.336132
"""John Mark Nelson""","""Boy""",2023-01-01T17:33:49.361064
"""Eric Johnson""","""Wind Cries Mary""",2023-01-01T17:33:50.871061
"""Damien Jurado""","""Arkansas""",2023-01-01T17:33:52.549606
"""Sour Bridges""","""Fine Life""",2023-01-01T17:33:54.097400
"""Tex Smith""","""Come On""",2023-01-01T17:33:55.611352
"""Santana""","""Oye Como Va""",2023-01-01T17:33:55.642299
"""The Pretenders""","""Holy Commotion""",2023-01-01T17:33:57.308849
"""Communist Daughter""","""Not The Kid""",2023-01-01T17:33:57.330769
"""Raglans""","""(Lady) Roll Back The Years""",2023-01-01T17:33:58.868669
"""Noel Christian Riddell""","""Rainy Day""",2023-01-01T17:34:00.387579
"""Phil Lomac""","""Stanger's Funeral""",2023-01-01T17:34:00.406530
"""Atlas Maior""","""Iddaa!""",2023-01-01T17:34:01.941425
"""Sylvan Esso""","""H.S.K.T. (Live on MBE)""",2023-01-01T17:34:03.452417
"""The Autumn Leaves""","""Lighthouse""",2023-01-01T17:34:04.965374
"""Benjy Feree""","""Fear""",2023-01-01T17:34:04.985286
"""Los Macuanos""","""Mar Negro""",2023-01-01T17:34:06.498240
"""Khruangbin""","""People Everywhere (Still Alive)""",2023-01-01T17:34:08.003216
"""Art Feynman""","""Feeling Good About Feeling Good""",2023-01-01T17:34:08.031155
"""Fighting the Villain""","""What's Left""",2023-01-01T17:34:09.552106
"""The Duke Spirit""","""Don't Wait""",2023-01-01T17:34:11.069059
"""Jason Myles Goss""","""When You're Lonesome - Demo""",2023-01-01T17:34:11.091003
"""El Rego""","""E Nan Mian Nuku""",2023-01-01T17:34:12.593978
"""Tristen""","""Clandestine""",2023-01-01T17:34:12.619908
"""Neil Finn""","""Impressions""",2023-01-01T17:34:14.310498
"""Le Butcherettes""","""strong/ENOUGH""",2023-01-01T17:34:15.823481
"""Lucius""","""Next To Normal""",2023-01-01T17:34:15.847390
"""Buffalo Nichols""","""How to Love""",2023-01-01T17:34:17.352393
"""Pete Yorn""","""Elizabeth Taylor""",2023-01-01T17:34:17.372311
"""Land of Talk""","""Weight of That Weekend""",2023-01-01T17:34:18.875300
"""Bola Sete""","""Soul Samba""",2023-01-01T17:34:18.898229
"""PJ Western""","""Human Machines""",2023-01-01T17:34:20.408230
"""Camp Cope""","""Running with the Hurricane""",2023-01-01T17:34:21.915193
"""Hello June""","""Mars""",2023-01-01T17:34:23.427151
"""Horse Feathers""","""Without Applause""",2023-01-01T17:34:23.443108
